"score_type","qwk"
"qwk_1_all",0.596411659726353
"qwk_1_cr",0.657118786857624
"qwk_1_dev",0.635148460611373
"qwk_1_org",0.607551972846839
"qwk_1_wc",0.27706498951782
"qwk_1_ssgm",0.275379696243006
"qwk_2_all",0.525338633892785
"qwk_2_cr",0.696253602305476
"qwk_2_dev",0.587928143712575
"qwk_2_org",0.537590744101633
"qwk_2_wc",0.318743400211193
"qwk_2_ssgm",0.260123123746282
"qwk_3_all",0.645306072936999
"qwk_3_cr",0.759356568364611
"qwk_3_dev",0.611529472864191
"qwk_3_org",0.641929544617651
"qwk_3_wc",0.44234592445328
"qwk_3_ssgm",0.262984097998935
